timestamp,thames_ditton
2026-02-22 17:00:00+00:00,5.445
2026-02-22 17:15:00+00:00,5.459
2026-02-22 17:30:00+00:00,5.489
2026-02-22 17:45:00+00:00,5.545
2026-02-22 18:00:00+00:00,5.621
2026-02-22 18:15:00+00:00,5.699
2026-02-22 18:30:00+00:00,5.747
2026-02-22 18:45:00+00:00,5.77
2026-02-22 19:00:00+00:00,5.769
2026-02-22 19:15:00+00:00,5.747
2026-02-22 19:30:00+00:00,5.72
2026-02-22 19:45:00+00:00,5.684
2026-02-22 20:00:00+00:00,5.66
2026-02-22 20:15:00+00:00,5.632
2026-02-22 20:30:00+00:00,5.61
2026-02-22 20:45:00+00:00,5.58
2026-02-22 21:00:00+00:00,5.563
2026-02-22 21:15:00+00:00,5.546
2026-02-22 21:30:00+00:00,5.531
2026-02-22 21:45:00+00:00,5.514
2026-02-22 22:00:00+00:00,5.499
2026-02-22 22:15:00+00:00,5.487
2026-02-22 22:30:00+00:00,5.475
2026-02-22 22:45:00+00:00,5.466
2026-02-22 23:00:00+00:00,5.453
2026-02-22 23:15:00+00:00,5.443
2026-02-22 23:30:00+00:00,5.434
2026-02-22 23:45:00+00:00,5.427
2026-02-23 00:00:00+00:00,5.42
2026-02-23 00:15:00+00:00,5.409
2026-02-23 00:30:00+00:00,5.405
2026-02-23 00:45:00+00:00,5.399
2026-02-23 01:00:00+00:00,5.398
2026-02-23 01:15:00+00:00,5.394
2026-02-23 01:30:00+00:00,5.386
2026-02-23 01:45:00+00:00,5.376
2026-02-23 02:00:00+00:00,5.375
2026-02-23 02:15:00+00:00,5.372
2026-02-23 02:30:00+00:00,5.372
2026-02-23 02:45:00+00:00,5.365
2026-02-23 03:00:00+00:00,5.367
2026-02-23 03:15:00+00:00,5.363
2026-02-23 03:30:00+00:00,5.354
2026-02-23 03:45:00+00:00,5.362
2026-02-23 04:00:00+00:00,5.355
2026-02-23 04:15:00+00:00,5.353
2026-02-23 04:30:00+00:00,5.364
2026-02-23 04:45:00+00:00,5.358
2026-02-23 05:00:00+00:00,5.377
2026-02-23 05:15:00+00:00,5.402
2026-02-23 05:30:00+00:00,5.443
2026-02-23 05:45:00+00:00,5.492
2026-02-23 06:00:00+00:00,5.554
2026-02-23 06:15:00+00:00,5.616
2026-02-23 06:30:00+00:00,5.664
2026-02-23 06:45:00+00:00,5.686
2026-02-23 07:00:00+00:00,5.683
2026-02-23 07:15:00+00:00,5.665
2026-02-23 07:30:00+00:00,5.635
2026-02-23 07:45:00+00:00,5.605
2026-02-23 08:00:00+00:00,5.582
2026-02-23 08:15:00+00:00,5.55
2026-02-23 08:30:00+00:00,5.53
2026-02-23 08:45:00+00:00,5.511
2026-02-23 09:00:00+00:00,5.49
2026-02-23 09:15:00+00:00,5.476
2026-02-23 09:30:00+00:00,5.444
2026-02-23 09:45:00+00:00,5.431
2026-02-23 10:00:00+00:00,5.417
2026-02-23 10:15:00+00:00,5.411
2026-02-23 10:30:00+00:00,5.399
2026-02-23 10:45:00+00:00,5.389
2026-02-23 11:00:00+00:00,5.385
2026-02-23 11:15:00+00:00,5.382
2026-02-23 11:30:00+00:00,5.38
2026-02-23 11:45:00+00:00,5.378
2026-02-23 12:00:00+00:00,5.377
2026-02-23 12:15:00+00:00,5.373
2026-02-23 12:30:00+00:00,5.373
2026-02-23 12:45:00+00:00,5.37
2026-02-23 13:00:00+00:00,5.37
2026-02-23 13:15:00+00:00,5.363
2026-02-23 13:30:00+00:00,5.361
2026-02-23 13:45:00+00:00,5.359
2026-02-23 14:00:00+00:00,5.355
2026-02-23 14:15:00+00:00,5.349
2026-02-23 14:30:00+00:00,5.344
2026-02-23 14:45:00+00:00,5.33
