timestamp,value
2026-01-08T02:45:00Z,0.626
2026-01-08T03:00:00Z,0.625
2026-01-08T03:15:00Z,0.625
2026-01-08T03:30:00Z,0.625
2026-01-08T03:45:00Z,0.624
2026-01-08T04:00:00Z,0.623
2026-01-08T04:15:00Z,0.624
2026-01-08T04:30:00Z,0.624
2026-01-08T04:45:00Z,0.626
2026-01-08T05:00:00Z,0.624
2026-01-08T05:15:00Z,0.624
2026-01-08T05:30:00Z,0.624
2026-01-08T05:45:00Z,0.624
2026-01-08T06:00:00Z,0.623
2026-01-08T06:15:00Z,0.624
2026-01-08T06:30:00Z,0.623
2026-01-08T06:45:00Z,0.623
2026-01-08T07:00:00Z,0.623
2026-01-08T07:15:00Z,0.623
2026-01-08T07:30:00Z,0.624
2026-01-08T07:45:00Z,0.623
2026-01-08T08:00:00Z,0.622
2026-01-08T08:15:00Z,0.622
2026-01-08T08:30:00Z,0.622
2026-01-08T08:45:00Z,0.622
2026-01-08T09:00:00Z,0.623
2026-01-08T09:15:00Z,0.621
2026-01-08T09:30:00Z,0.622
2026-01-08T09:45:00Z,0.621
2026-01-08T10:00:00Z,0.621
2026-01-08T10:15:00Z,0.621
2026-01-08T10:30:00Z,0.621
2026-01-08T10:45:00Z,0.621
2026-01-08T11:00:00Z,0.622
2026-01-08T11:15:00Z,0.621
2026-01-08T11:30:00Z,0.621
2026-01-08T11:45:00Z,0.62
2026-01-08T12:00:00Z,0.621
2026-01-08T12:15:00Z,0.621
2026-01-08T12:30:00Z,0.62
2026-01-08T12:45:00Z,0.621
2026-01-08T13:00:00Z,0.62
2026-01-08T13:15:00Z,0.62
2026-01-08T13:30:00Z,0.62
2026-01-08T13:45:00Z,0.619
2026-01-08T14:00:00Z,0.62
2026-01-08T14:15:00Z,0.621
2026-01-08T14:30:00Z,0.62
2026-01-08T14:45:00Z,0.619
2026-01-08T15:00:00Z,0.62
2026-01-08T15:15:00Z,0.621
2026-01-08T15:30:00Z,0.62
2026-01-08T15:45:00Z,0.619
2026-01-08T16:00:00Z,0.619
2026-01-08T16:15:00Z,0.62
2026-01-08T16:30:00Z,0.621
2026-01-08T16:45:00Z,0.62
2026-01-08T17:00:00Z,0.619
2026-01-08T17:15:00Z,0.62
2026-01-08T17:30:00Z,0.619
2026-01-08T18:00:00Z,0.619
2026-01-08T17:45:00Z,0.62
2026-01-08T18:15:00Z,0.62
2026-01-08T18:30:00Z,0.619
2026-01-08T18:45:00Z,0.62
2026-01-08T19:00:00Z,0.619
2026-01-08T19:15:00Z,0.619
2026-01-08T19:30:00Z,0.62
2026-01-08T19:45:00Z,0.62
2026-01-08T20:00:00Z,0.619
2026-01-08T20:15:00Z,0.619
2026-01-08T20:30:00Z,0.62
2026-01-08T20:45:00Z,0.62
2026-01-08T21:00:00Z,0.619
2026-01-08T21:15:00Z,0.619
2026-01-08T21:30:00Z,0.62
2026-01-08T22:30:00Z,0.622
2026-01-08T22:15:00Z,0.623
2026-01-08T21:45:00Z,0.623
2026-01-08T22:00:00Z,0.624
2026-01-08T22:45:00Z,0.622
2026-01-08T23:00:00Z,0.622
2026-01-08T23:15:00Z,0.622
